title,company,location,platform,posted_date,url,skills,experience_level,salary
AI Engineer,Tech Company 1,UAE,LinkedIn,2025-05-01,https://linkedin.com/job/0,"['r', 'python', 'tensorflow']",,
AI Researcher,Tech Company 2,Egypt,LinkedIn,2025-05-08,https://linkedin.com/job/1,"['r', 'python', 'tensorflow']",,
AI Engineer,Tech Company 3,Saudi Arabia,LinkedIn,2025-05-05,https://linkedin.com/job/2,"['r', 'python', 'tensorflow']",,
AI Researcher,Tech Company 4,UAE,LinkedIn,2025-05-22,https://linkedin.com/job/3,"['r', 'python', 'tensorflow']",,
AI Engineer,Tech Company 5,UAE,LinkedIn,2025-05-19,https://linkedin.com/job/4,"['r', 'python', 'tensorflow']",,
Machine Learning Engineer,AI Solutions 1,Egypt,Bayt,2025-05-02,https://bayt.com/job/0,"['r', 'pytorch']",,
Machine Learning Engineer,AI Solutions 2,Kuwait,Bayt,2025-05-03,https://bayt.com/job/1,"['r', 'pytorch']",,
Machine Learning Engineer,AI Solutions 3,Qatar,Bayt,2025-05-08,https://bayt.com/job/2,"['r', 'pytorch']",,
Machine Learning Engineer,AI Solutions 4,Kuwait,Bayt,2025-05-18,https://bayt.com/job/3,"['r', 'pytorch']",,
Data Engineer,Data Co 1,Morocco,Wuzzuf,2025-05-23,https://wuzzuf.net/job/0,"['r', 'python', 'sql']",,
Data Scientist,Data Co 2,Jordan,Wuzzuf,2025-05-08,https://wuzzuf.net/job/1,"['r', 'python', 'sql']",,
Data Engineer,Data Co 3,Jordan,Wuzzuf,2025-05-19,https://wuzzuf.net/job/2,"['r', 'python', 'sql']",,
Ai Developer,Global Tech 1,Qatar,Glassdoor,2025-05-26,https://glassdoor.com/job/0,['r'],,
Ai Architect,Global Tech 2,UAE,Glassdoor,2025-05-25,https://glassdoor.com/job/1,['r'],,
Ai Developer,Global Tech 3,Saudi Arabia,Glassdoor,2025-05-23,https://glassdoor.com/job/2,['r'],,
Ai Architect,Global Tech 4,Bahrain,Glassdoor,2025-05-11,https://glassdoor.com/job/3,['r'],,
